Job ID,Company,Job Title,Level,Location,Employment Type,Job Function,Industries,Job Description,Posting Language,Working Language
3711559686,Mehiläinen,Hammashoitaja,Entry level,"Kemi, Lappi, Finland",Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711559686,Finnish,
3706544139,OMD Finland,Business Development Manager,Mid-Senior level,"Helsinki, Uusimaa, Finland",Full-time,"Business Development, Project Management, and Analyst",Advertising Services,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706544139,Finnish,
3676297229,Validia,Psykologi,Entry level,"Helsinki, Uusimaa, Finland",Full-time,Health Care Provider,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3676297229,Finnish,
3656744975,Cobblestone Energy,"JUNIOR TRADER - Dubai, UAE",Entry level,Tampere Metropolitan Area,Full-time,Finance and Sales,"Technology, Information and Internet",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3656744975,English,
3699030040,Eurooppanuoret (JEF-Finland),Secretary General,"Employment type
        

          Full-time","Helsinki, Uusimaa, Finland",,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3699030040,Finnish,"English, Finnish"
3691139098,GienTech,Translators/Reviewers (Long-Term ICT Projects),Entry level,Finland,Part-time,"Marketing, Public Relations, and Writing/Editing","Information Services, Software Development, and Business Consulting and Services",https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3691139098,English,English
3696869408,Rainmaker - Mahdollisuus menestyä,Myyjä - Valokuitunen Oy,Not Applicable,"Hämeenlinna, Tavastia Proper, Finland",Other,Sales and Business Development,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3696869408,Finnish,
3691358249,"Solibri, Inc.",Product Owner,Associate,"Helsinki, Uusimaa, Finland",Full-time,"Product Management, Business Development, and Design",Software Development,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3691358249,English,
3711103018,Greenlux Lighting Solutions,Chief Financial Officer,"Employment type
        

          Full-time",Helsinki Metropolitan Area,,,,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3711103018,English,English
3534413876,Fazer,Join Fazer Finland Talent Community!,Entry level,Finland,Full-time,Other,Food and Beverage Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3534413876,English,
3713353784,J. Rinta-Jouppi Oy,"Autojen sisäänostaja, Seinäjoki",Mid-Senior level,"Seinäjoki, South Ostrobothnia, Finland",Full-time,Purchasing and Supply Chain,Motor Vehicle Manufacturing,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3713353784,Finnish,
3649826877,Nigel Frank International,QA Engineer,Entry level,Helsinki Metropolitan Area,Full-time,Engineering and Information Technology,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3649826877,English,
3639806026,Nexer Recruit,Sales Manager to Biesterfeld Nordic AB,Not Applicable,"Parainen, Southwest Finland, Finland",Full-time,Sales and Business Development,Staffing and Recruiting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3639806026,English,"English, Finnish"
3664570450,IONA,Full Stack Developer,Entry level,"Helsinki, Uusimaa, Finland",Full-time,Engineering and Information Technology,IT Services and IT Consulting,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664570450,English,English
3664697428,Pohjois-Karjalan hyvinvointialue – Siun sote,Tut­ki­ja­lää­kä­rin ura­pol­ku,Not Applicable,"Joensuu, North Karelia, Finland",Full-time,Other,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664697428,Finnish,
3664697430,Pohjois-Karjalan hyvinvointialue – Siun sote,Ke­sä­lo­mat ovat tääl­lä!,Not Applicable,"Joensuu, North Karelia, Finland",Full-time,Other,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664697430,Finnish,
3706417239,Synsam Group Finland Oy,Myyjiä Synsam Zeppelin -liikkeeseen Ouluun,Not Applicable,"Kempele, North Ostrobothnia, Finland",Full-time,Other,Retail,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3706417239,Finnish,"English, Finnish"
3664697431,Pohjois-Karjalan hyvinvointialue – Siun sote,Lo­ka­kuun ta­pah­tu­mat ovat tääl­lä!,Not Applicable,"Joensuu, North Karelia, Finland",Full-time,Other,Hospitals and Health Care,https://www.linkedin.com/jobs-guest/jobs/api/jobPosting/3664697431,Finnish,
